Timestamp,Total,Owner,Claimed,Unclaimed,Matched,Preempting,Backfill,Drain
1726999658,128,0,126,2,0,0,0,0
1726999660,128,0,126,2,0,0,0,0
1726999661,128,0,126,2,0,0,0,0
1726999663,128,0,126,2,0,0,0,0
1726999664,128,0,123,2,0,3,0,0
1726999666,128,0,123,2,0,3,0,0
1726999667,128,0,123,2,0,3,0,0
1726999668,128,0,123,2,0,3,0,0
1726999669,128,0,123,2,0,3,0,0
1726999671,128,0,122,2,0,4,0,0
1726999672,128,0,122,2,0,4,0,0
1726999674,128,0,122,2,0,4,0,0
1726999675,128,0,122,2,0,4,0,0
1726999677,128,0,121,2,0,5,0,0
1726999678,128,0,118,5,0,5,0,0
1726999680,128,0,123,1,0,4,0,0
1726999682,128,0,123,1,0,4,0,0
1726999683,128,0,123,1,0,4,0,0
1726999685,128,0,123,2,0,3,0,0
1726999686,128,0,123,2,0,3,0,0
1726999688,128,0,123,2,0,3,0,0
1726999689,128,0,123,5,0,0,0,0
1726999690,128,0,123,5,0,0,0,0
1726999692,128,0,123,5,0,0,0,0
1726999693,128,0,123,5,0,0,0,0
1726999695,128,0,123,5,0,0,0,0
1726999696,128,0,123,5,0,0,0,0
1726999697,128,0,123,5,0,0,0,0
1726999698,128,0,123,5,0,0,0,0
1726999700,128,0,123,5,0,0,0,0
1726999701,128,0,123,5,0,0,0,0
1726999703,128,0,123,5,0,0,0,0
1726999704,128,0,123,5,0,0,0,0
1726999705,128,0,123,5,0,0,0,0
1726999707,128,0,123,5,0,0,0,0
1726999708,128,0,123,5,0,0,0,0
1726999709,128,0,123,5,0,0,0,0
1726999711,128,0,123,5,0,0,0,0
1726999713,128,0,123,5,0,0,0,0
1726999714,128,0,123,5,0,0,0,0
1726999716,128,0,122,5,0,1,0,0
1726999717,128,0,122,5,0,1,0,0
1726999718,128,0,122,5,0,1,0,0
1726999719,128,0,122,5,0,1,0,0
1726999721,128,0,121,6,0,1,0,0
1726999723,128,0,121,6,0,1,0,0
1726999724,128,0,121,6,0,1,0,0
1726999725,128,0,121,6,0,1,0,0
1726999727,128,0,121,6,0,1,0,0
1726999728,128,0,121,6,0,1,0,0
1726999730,128,0,121,6,0,1,0,0
1726999731,128,0,121,6,0,1,0,0
1726999732,128,0,121,6,0,1,0,0
1726999734,128,0,121,6,0,1,0,0
1726999736,128,0,121,6,0,1,0,0
1726999737,128,0,121,6,0,1,0,0
1726999739,128,0,121,7,0,0,0,0
1726999740,128,0,126,2,0,0,0,0
1726999742,128,0,128,0,0,0,0,0
1726999743,128,0,128,0,0,0,0,0
1726999745,128,0,128,0,0,0,0,0
1726999746,128,0,128,0,0,0,0,0
1726999748,128,0,128,0,0,0,0,0
1726999749,128,0,128,0,0,0,0,0
1726999751,128,0,128,0,0,0,0,0
1726999752,128,0,128,0,0,0,0,0
1726999754,128,0,128,0,0,0,0,0
1726999756,128,0,128,0,0,0,0,0
1726999758,128,0,128,0,0,0,0,0
1726999760,128,0,128,0,0,0,0,0
1726999762,128,0,128,0,0,0,0,0
1726999763,128,0,128,0,0,0,0,0
1726999765,128,0,128,0,0,0,0,0
1726999767,128,0,128,0,0,0,0,0
1726999769,128,0,128,0,0,0,0,0
1726999770,128,0,128,0,0,0,0,0
1726999772,128,0,128,0,0,0,0,0
1726999773,128,0,128,0,0,0,0,0
1726999775,128,0,127,0,0,1,0,0
1726999776,128,0,127,0,0,1,0,0
1726999778,128,0,126,1,0,1,0,0
1726999779,128,0,126,1,0,1,0,0
1726999781,128,0,126,1,0,1,0,0
1726999782,128,0,126,1,0,1,0,0
1726999783,128,0,126,1,0,1,0,0
1726999785,128,0,126,1,0,1,0,0
1726999786,128,0,126,2,0,0,0,0
1726999787,128,0,126,2,0,0,0,0
1726999789,128,0,126,2,0,0,0,0
1726999790,128,0,126,2,0,0,0,0
1726999791,128,0,125,2,0,1,0,0
1726999792,128,0,125,3,0,0,0,0
1726999794,128,0,123,3,0,2,0,0
1726999795,128,0,123,5,0,0,0,0
1726999796,128,0,123,5,0,0,0,0
