timestamp,total_mb,used_mb,available_mb,use_percent
1727143891,3753977,125376,3473616,4
1727143892,3753977,125376,3473616,4
1727143893,3753977,125376,3473616,4
1727143894,3753977,125376,3473616,4
1727143895,3753977,125377,3473616,4
1727143896,3753977,125377,3473616,4
1727143897,3753977,125377,3473616,4
1727143898,3753977,125377,3473616,4
1727143899,3753977,125377,3473616,4
1727143900,3753977,125377,3473616,4
1727143901,3753977,125377,3473615,4
1727143902,3753977,125377,3473615,4
1727143903,3753977,125377,3473615,4
1727143904,3753977,125377,3473615,4
1727143906,3753977,125377,3473615,4
1727143907,3753977,125377,3473615,4
1727143908,3753977,125377,3473615,4
1727143909,3753977,125377,3473615,4
1727143910,3753977,125377,3473615,4
1727143911,3753977,125377,3473615,4
1727143912,3753977,125377,3473615,4
1727143913,3753977,125378,3473615,4
1727143914,3753977,125378,3473615,4
1727143915,3753977,125378,3473615,4
1727143916,3753977,125378,3473615,4
1727143917,3753977,125378,3473615,4
1727143918,3753977,125378,3473614,4
1727143919,3753977,125378,3473614,4
1727143920,3753977,125378,3473614,4
1727143921,3753977,125378,3473614,4
1727143922,3753977,125378,3473614,4
1727143923,3753977,125378,3473614,4
1727143924,3753977,125378,3473614,4
1727143925,3753977,125378,3473614,4
1727143926,3753977,125378,3473614,4
1727143927,3753977,125378,3473614,4
1727143928,3753977,125378,3473614,4
1727143929,3753977,125379,3473614,4
1727143930,3753977,125379,3473614,4
1727143931,3753977,125379,3473614,4
1727143932,3753977,125379,3473614,4
1727143933,3753977,125379,3473613,4
1727143934,3753977,125379,3473613,4
1727143935,3753977,125379,3473613,4
1727143936,3753977,125379,3473613,4
1727143937,3753977,125379,3473613,4
1727143939,3753977,125379,3473613,4
1727143940,3753977,125379,3473613,4
1727143941,3753977,125379,3473613,4
1727143942,3753977,125379,3473613,4
1727143943,3753977,125379,3473613,4
1727143944,3753977,125379,3473613,4
1727143945,3753977,125380,3473613,4
1727143946,3753977,125380,3473613,4
1727143947,3753977,125380,3473613,4
1727143948,3753977,125380,3473613,4
1727143949,3753977,125380,3473612,4
1727143950,3753977,125380,3473612,4
1727143951,3753977,125380,3473612,4
1727143952,3753977,125380,3473612,4
1727143953,3753977,125380,3473612,4
1727143954,3753977,125380,3473612,4
1727143955,3753977,125380,3473612,4
1727143956,3753977,125380,3473612,4
1727143957,3753977,125380,3473612,4
1727143958,3753977,125380,3473612,4
1727143959,3753977,125380,3473612,4
1727143960,3753977,125380,3473612,4
1727143961,3753977,125381,3473612,4
1727143962,3753977,125381,3473612,4
1727143963,3753977,125381,3473612,4
1727143964,3753977,125381,3473612,4
1727143965,3753977,125381,3473611,4
1727143966,3753977,125381,3473611,4
1727143967,3753977,125381,3473611,4
1727143968,3753977,125381,3473611,4
1727143969,3753977,125381,3473611,4
1727143970,3753977,125381,3473611,4
1727143972,3753977,125381,3473611,4
1727143973,3753977,125381,3473611,4
1727143974,3753977,125381,3473611,4
1727143975,3753977,125381,3473611,4
1727143976,3753977,125381,3473611,4
1727143977,3753977,125381,3473611,4
1727143978,3753977,125382,3473611,4
1727143979,3753977,125382,3473611,4
1727143980,3753977,125382,3473611,4
1727143981,3753977,125382,3473611,4
1727143982,3753977,125382,3473611,4
1727143983,3753977,125382,3473610,4
1727143984,3753977,125382,3473610,4
1727143985,3753977,125382,3473610,4
1727143986,3753977,125382,3473610,4
1727143987,3753977,125382,3473610,4
1727143988,3753977,125382,3473610,4
1727143989,3753977,125382,3473610,4
1727143990,3753977,125382,3473610,4
1727143991,3753977,125382,3473610,4
1727143992,3753977,125382,3473610,4
1727143993,3753977,125382,3473610,4
1727143994,3753977,125383,3473610,4
1727143995,3753977,125383,3473610,4
1727143996,3753977,125383,3473610,4
1727143997,3753977,125383,3473610,4
1727143998,3753977,125383,3473610,4
1727143999,3753977,125383,3473610,4
1727144000,3753977,125383,3473609,4
1727144001,3753977,125383,3473609,4
1727144002,3753977,125383,3473609,4
1727144003,3753977,125383,3473609,4
1727144005,3753977,125383,3473609,4
1727144006,3753977,125383,3473609,4
1727144007,3753977,125383,3473609,4
1727144008,3753977,125383,3473609,4
1727144009,3753977,125383,3473609,4
1727144010,3753977,125383,3473609,4
1727144011,3753977,125383,3473609,4
1727144012,3753977,125383,3473609,4
1727144013,3753977,125384,3473609,4
1727144014,3753977,125384,3473609,4
1727144015,3753977,125384,3473609,4
1727144016,3753977,125384,3473609,4
1727144017,3753977,125384,3473608,4
1727144018,3753977,125384,3473608,4
1727144019,3753977,125384,3473608,4
1727144020,3753977,125384,3473608,4
1727144021,3753977,125384,3473608,4
1727144022,3753977,125384,3473608,4
1727144023,3753977,125384,3473608,4
1727144024,3753977,125384,3473608,4
1727144025,3753977,125384,3473608,4
1727144026,3753977,125384,3473608,4
1727144027,3753977,125384,3473608,4
1727144028,3753977,125384,3473608,4
1727144029,3753977,125385,3473608,4
1727144030,3753977,125385,3473608,4
1727144031,3753977,125385,3473608,4
1727144032,3753977,125385,3473608,4
1727144033,3753977,125385,3473608,4
1727144034,3753977,125385,3473607,4
1727144035,3753977,125385,3473607,4
1727144036,3753977,125385,3473607,4
1727144038,3753977,125385,3473607,4
1727144039,3753977,125385,3473607,4
1727144040,3753977,125385,3473607,4
1727144041,3753977,125385,3473607,4
1727144042,3753977,125385,3473607,4
1727144043,3753977,125385,3473607,4
1727144044,3753977,125385,3473607,4
1727144045,3753977,125385,3473607,4
1727144046,3753977,125385,3473607,4
1727144047,3753977,125386,3473607,4
1727144048,3753977,125386,3473607,4
1727144049,3753977,125386,3473607,4
1727144050,3753977,125386,3473607,4
1727144051,3753977,125386,3473607,4
1727144052,3753977,125386,3473607,4
1727144053,3753977,125386,3473606,4
1727144054,3753977,125386,3473606,4
1727144055,3753977,125386,3473606,4
1727144056,3753977,125386,3473606,4
1727144057,3753977,125386,3473606,4
1727144058,3753977,125386,3473606,4
1727144059,3753977,125386,3473606,4
1727144060,3753977,125386,3473606,4
1727144061,3753977,125386,3473606,4
1727144062,3753977,125386,3473606,4
1727144063,3753977,125386,3473606,4
1727144064,3753977,125387,3473606,4
1727144065,3753977,125387,3473606,4
1727144066,3753977,125387,3473606,4
1727144067,3753977,125387,3473606,4
1727144068,3753977,125387,3473606,4
1727144069,3753977,125387,3473605,4
1727144071,3753977,125387,3473605,4
1727144072,3753977,125387,3473605,4
1727144073,3753977,125387,3473605,4
1727144074,3753977,125387,3473605,4
1727144075,3753977,125387,3473605,4
1727144076,3753977,125387,3473605,4
1727144077,3753977,125387,3473605,4
1727144078,3753977,125387,3473605,4
1727144079,3753977,125387,3473605,4
1727144080,3753977,125387,3473605,4
1727144081,3753977,125388,3473605,4
1727144082,3753977,125388,3473605,4
1727144083,3753977,125388,3473605,4
1727144084,3753977,125388,3473605,4
1727144085,3753977,125388,3473605,4
1727144086,3753977,125388,3473604,4
1727144087,3753977,125388,3473604,4
1727144088,3753977,125388,3473604,4
1727144089,3753977,125388,3473604,4
1727144090,3753977,125388,3473604,4
1727144091,3753977,125388,3473604,4
1727144092,3753977,125388,3473604,4
1727144093,3753977,125388,3473604,4
1727144094,3753977,125388,3473604,4
1727144095,3753977,125388,3473604,4
1727144096,3753977,125388,3473604,4
1727144097,3753977,125388,3473604,4
1727144098,3753977,125388,3473604,4
1727144099,3753977,125389,3473604,4
1727144100,3753977,125389,3473604,4
1727144101,3753977,125389,3473604,4
1727144102,3753977,125389,3473604,4
1727144104,3753977,125389,3473604,4
1727144105,3753977,125389,3473604,4
1727144106,3753977,125389,3473603,4
1727144107,3753977,125389,3473603,4
1727144108,3753977,125389,3473603,4
1727144109,3753977,125389,3473603,4
1727144110,3753977,125389,3473603,4
1727144111,3753977,125389,3473603,4
1727144112,3753977,125389,3473603,4
1727144113,3753977,125389,3473603,4
1727144114,3753977,125389,3473603,4
1727144115,3753977,125389,3473603,4
1727144116,3753977,125389,3473603,4
1727144117,3753977,125389,3473603,4
1727144118,3753977,125389,3473603,4
1727144119,3753977,125390,3473603,4
1727144120,3753977,125390,3473603,4
1727144121,3753977,125390,3473603,4
1727144122,3753977,125390,3473603,4
1727144123,3753977,125390,3473603,4
1727144124,3753977,125390,3473602,4
1727144125,3753977,125390,3473602,4
1727144126,3753977,125390,3473602,4
1727144127,3753977,125390,3473602,4
1727144128,3753977,125390,3473602,4
1727144129,3753977,125390,3473602,4
1727144130,3753977,125390,3473602,4
1727144131,3753977,125390,3473602,4
1727144132,3753977,125390,3473602,4
1727144133,3753977,125390,3473602,4
1727144134,3753977,125390,3473602,4
1727144136,3753977,125390,3473602,4
1727144137,3753977,125390,3473602,4
1727144138,3753977,125391,3473602,4
1727144139,3753977,125391,3473602,4
1727144140,3753977,125391,3473602,4
1727144141,3753977,125391,3473602,4
1727144142,3753977,125391,3473602,4
1727144143,3753977,125391,3473601,4
1727144144,3753977,125391,3473601,4
1727144145,3753977,125391,3473601,4
1727144146,3753977,125391,3473601,4
1727144147,3753977,125391,3473601,4
1727144148,3753977,125391,3473601,4
1727144149,3753977,125391,3473601,4
1727144150,3753977,125391,3473601,4
1727144151,3753977,125391,3473601,4
1727144152,3753977,125391,3473601,4
1727144153,3753977,125392,3473601,4
1727144154,3753977,125392,3473601,4
1727144155,3753977,125392,3473601,4
1727144156,3753977,125392,3473601,4
1727144157,3753977,125392,3473601,4
1727144158,3753977,125392,3473600,4
1727144159,3753977,125392,3473600,4
1727144160,3753977,125392,3473600,4
1727144161,3753977,125392,3473600,4
1727144162,3753977,125392,3473600,4
1727144163,3753977,125392,3473600,4
1727144164,3753977,125392,3473600,4
1727144165,3753977,125392,3473600,4
1727144166,3753977,125392,3473600,4
1727144167,3753977,125392,3473600,4
1727144169,3753977,125392,3473600,4
1727144170,3753977,125393,3473600,4
1727144171,3753977,125393,3473600,4
1727144172,3753977,125393,3473600,4
1727144173,3753977,125393,3473600,4
1727144174,3753977,125393,3473599,4
1727144175,3753977,125393,3473599,4
1727144176,3753977,125393,3473599,4
1727144177,3753977,125393,3473599,4
