timestamp,timestamp,T1,T2
1727243736,,8.659945,28.3635
1727243737,,8.964199,28.86914
1727243738,,9.037333,28.42118
1727243739,,9.014802,28.74013
1727243740,,8.800959,28.71775
1727243741,,8.480193,28.44597
1727243742,,8.246438,28.43003
1727243743,,8.572799,28.62013
1727243744,,8.624443,28.72274
1727243745,,8.824475,28.94589
1727243746,,8.925825,28.84935
1727243747,,8.822247,28.72747
1727243748,,8.565529,28.75106
1727243749,,8.391844,28.50788
1727243750,,8.502438,28.76954
1727243751,,9.126288,28.72717
1727243752,,8.869694,28.70643
1727243753,,8.741223,28.75024
1727243754,,8.644742,28.69789
1727243755,,8.697082,28.92629
1727243756,,8.81547,29.03202
1727243757,,8.430645,29.16225
1727243758,,8.470855,29.04345
1727243759,,8.734072,28.79914
1727243760,,8.915021,28.82282
1727243761,,8.92323,29.47715
1727243762,,8.881188,29.92882
1727243763,,8.697848,29.90989
1727243764,,8.682042,29.84367
1727243765,,8.556416,29.75152
1727243766,,8.669042,29.69335
1727243767,,8.769812,29.66692
1727243768,,8.808342,29.17566
1727243769,,8.707901,29.4163
1727243770,,8.684085,28.95355
1727243771,,8.551438,28.94854
1727243772,,8.976887,28.90395
1727243773,,8.764796,28.87838
1727243774,,8.446661,29.00686
1727243775,,8.737856,29.07937
1727243776,,8.704149,29.07302
1727243777,,8.826266,28.8693
1727243778,,8.655445,29.08593
1727243779,,8.881636,28.7499
1727243780,,8.823985,28.93581
1727243781,,8.652687,28.87862
1727243782,,8.883664,28.81139
1727243783,,8.655314,29.11059
1727243784,,8.771375,28.82149
1727243785,,8.870702,29.05676
1727243786,,8.522325,29.03504
1727243787,,8.290073,29.13987
1727243788,,8.365861,28.91928
1727243789,,8.460212,29.00748
1727243790,,8.609075,28.75073
1727243791,,8.549401,28.86881
1727243792,,8.788389,28.98534
1727243793,,9.095549,28.7933
1727243794,,8.890267,28.79009
1727243795,,8.402164,28.71733
1727243796,,8.590151,28.66652
1727243797,,8.783612,28.80157
1727243798,,8.617495,28.77453
1727243799,,8.485573,28.62895
1727243800,,8.622355,29.00665
1727243801,,8.473009,29.00206
1727243802,,8.761684,28.72058
1727243803,,8.875105,28.4106
1727243804,,8.83346,28.4708
1727243805,,8.959929,28.45448
1727243806,,9.01115,28.54621
1727243807,,8.668518,28.49379
1727243808,,8.519294,28.43382
1727243809,,8.801889,28.57892
1727243810,,8.691527,28.70676
1727243811,,8.711908,28.78888
1727243812,,8.667633,28.46126
1727243813,,8.655324,28.81089
1727243814,,8.912504,28.43962
1727243815,,8.889081,28.79455
